code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.AKAM,AKAM,阿克迈,150.31,111.595,96.324,91.292,2.185288714e+10,5053751622,115.405,-9.15,69.78018152,165.4485416,34.69241453,15.85378514,5.511983525,True,True,True,True,True,True,True
US.ALB,ALB,美国雅保,184.18,182.937,154.042,135.509,2.172120402e+10,1922240298,249,-16.66,52.77363897,220.9983201,0.6794688882,18.75787123,13.67658237,True,True,True,True,True,True,True
US.ALGM,ALGM,Allegro Microsystems,42.55,38.288,33.429,32.678,7884126518,550708107.6,89.869,-17.217,22.41018808,51.39944191,11.13142499,14.53528374,2.298182263,True,True,True,True,True,True,True
US.ALKS,ALKS,阿尔凯默斯,37.598,32.58,31.352,30.64,6266593654,438963379.8,49.403,-4.96,25.16549199,39.56018519,15.40208717,3.916815514,2.323759791,True,True,True,True,True,True,True
US.ALRS,ALRS,Alerus Financial,26.43,24.974,23.421,22.939,664150113.8,15671098.11,34.099,-4.239,19.70931923,27.59996241,5.830063266,6.630801418,2.101224988,True,True,True,True,True,True,True
US.AMAT,AMAT,应用材料,438.64,380.846,313.88,280.823,3.480614155e+11,2.044146969e+10,187.514,-2.2,152.5630056,448.5071575,15.17516266,21.33490506,11.77147171,True,True,True,True,True,True,True
US.AMD,AMD,美国超微公司,434.34,279.417,242.406,224.24,7.083166116e+11,6.970666025e+10,303.456,-7.421,107.654862,469.1560721,55.44508745,15.26818643,8.101141634,True,True,True,True,True,True,True
US.AME,AME,阿美特克,227.44,225.353,213.753,206.541,5.212993077e+10,1367466815,31.014,-6.472,173.599768,243.1785134,0.9261026035,5.426824419,3.491800659,True,True,True,True,True,True,True
US.AMG,AMG,Affiliated Managers,294.3,286.979,284.064,270.285,7773076616,300695298.1,70.595,-12.085,172.5138486,334.7551612,2.551057743,1.0261772,5.097952162,True,True,True,True,True,True,True
US.AMKR,AMKR,艾马克技术,70.83,58.769,47.38,41.951,1.755681045e+10,1227480966,302.859,-10.602,17.58183384,79.2299604,20.52272457,24.03756859,12.94128865,True,True,True,True,True,True,True
US.AMX,AMX,美洲移动,26.585,25.581,23.285,22.367,7.99650215e+10,139513747.6,64.756,-4.37,16.13598291,27.7998536,3.924787929,9.860425166,4.104260741,True,True,True,True,True,True,True
US.AMZN,AMZN,亚马逊,262.225,236.67,230.542,229.408,2.820783022e+12,4.385901931e+10,33.788,-5.864,196.0003887,278.5597434,10.79773524,2.658083993,0.4943158042,True,True,True,True,True,True,True
US.ANAB,ANAB,AnaptysBio,63.58,50.543,36.579,31.256,1850235349,179240728.9,457.599,-12.133,11.40245947,72.35936131,25.79387848,38.1749091,17.03033018,True,True,True,True,True,True,True
US.APA,APA,阿帕奇石油,38.145,38.142,29.439,27.513,1.348135446e+10,904292748.3,145.995,-15.91,15.50641273,45.36211202,0.007865345289,29.56282482,7.000327118,True,True,True,True,True,True,True
US.APLD,APLD,Applied Digital,43.39,31.28,31.022,27.877,1.23995403e+10,3879632860,585.466,-9.206,6.330000321,47.78950151,38.71483376,0.8316678486,11.28170176,True,True,True,True,True,True,True
