code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.AA,AA,美国铝业公司,67.14,65.195,54.897,49.072,161.95,-11.307,25.63084558,75.69932238,2.983357619,18.75876642,11.87031301,True,True,True,True,True
US.AAGIY,AAGIY,友邦保险(ADR),45.155,43.638,42.294,41.139,42.683,-3.598,31.64707779,46.84031452,3.476327971,3.17775571,2.807554875,True,True,True,True,True
US.AAIC.PRB,AAIC.PRB,ARLINGTON ASSET INVESTMENT CORP 7% CUM PRF 12/05/2022 SER B USD25,20.3,20.127,19.203,18.796,30.967,-9.616,15.50008781,22.45972739,0.8595419089,4.811748164,2.165354331,True,True,True,True,True
US.AAMCF,AAMCF,ACCELITRON ADV MTR CNTRL S INC,3700,888.283,296.425,222.671,1479900,0,0.25,3700,316.5339199,199.6653454,33.12240929,True,True,True,True,True
US.AAMI,AAMI,Acadian Asset Management,70.36,60.205,52.69,51.222,143.448,-3.748,28.90144918,73.09977974,16.86736982,14.26266844,2.865956035,True,True,True,True,True
US.AAOI,AAOI,Applied Optoelectronics,203.26,133.717,69.318,58.34,1249.667,-13.014,15.0600111,233.6697859,52.00759814,92.90371909,18.81727803,True,True,True,True,True
US.AAON,AAON,艾伦建材,139.6,94.192,92.961,91.157,125.962,-6.308,61.78029934,148.9988473,48.20791575,1.324211228,1.979003258,True,True,True,True,True
US.AAVMY,AAVMY,ABN AMRO BANK N.V. UNSPON ADS EACH REP 1 ORD SHS,38.145,32.627,32.443,31.594,67.47,-0.495,22.77721383,38.33475705,16.91237319,0.5671485374,2.687219092,True,True,True,True,True
US.ABBNY,ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,106.72,91.11,81.062,77.775,92.711,-1.038,55.37826071,107.8393727,17.13313577,12.3954504,4.226293796,True,True,True,True,True
US.ABCB,ABCB,ABC银行,83.87,80.79,78.16,76.518,42.429,-4.682,58.88547978,87.98967666,3.812353014,3.364892528,2.145900311,True,True,True,True,True
US.ABEV,ABEV,Ambev SA,3.145,2.998,2.683,2.541,58.164,-8.837,1.988442376,3.449864528,4.903268846,11.74058889,5.588351043,True,True,True,True,True
US.ABSI,ABSI,Absci Corp,5.586,3.673,3.465,3.3,149.375,-16.875,2.24,6.72,52.08276613,6.002886003,5,True,True,True,True,True
US.ABVX,ABVX,Abivax S.A.,121.14,117.104,115.855,106.689,2067.084,-18.605,5.590000203,148.8297807,3.446509086,1.078071728,8.591326191,True,True,True,True,True
US.ABX,ABX,Abacus Global Management,9.16,9.097,7.908,7.441,105.248,-13.051,4.46289367,10.53491127,0.6925360009,15.03540718,6.276038167,True,True,True,True,True
US.ACA,ACA,Arcosa,129.67,113.816,110.091,106.098,58.532,-4.359,81.79421189,135.5799291,13.92950025,3.383564506,3.763501668,True,True,True,True,True
US.ACGBY,ACGBY,农业银行(ADR),19.34,17.837,17.603,17.269,35.081,-5.615,14.31733552,20.49054405,8.426304872,1.329318866,1.934101569,True,True,True,True,True
US.ACHL,ACHL,Achilles Therapeutics,1.48,1.314,1.077,1.017,134.92,-1.986,0.6300017027,1.509988369,12.63318113,22.00557103,5.899705015,True,True,True,True,True
US.ACLLY,ACLLY,ACCELLERON INDUSTRIES AG UNSPON ADR EACH REP 1 ORD SHS,110.95,98.99,87.716,87.339,97.462,-3.407,56.18802605,114.8633959,12.08202849,12.85284327,0.4316513814,True,True,True,True,True
US.ACLS,ACLS,Axcelis Technologies,161.77,115.269,95.41,92.671,189.236,-5.733,55.93010552,171.6083041,40.34128864,20.81438004,2.955617183,True,True,True,True,True
US.ACLX,ACLX,Arcellx,115.07,110.813,87.67,83.718,140.429,-0.052,47.86028308,115.1298675,3.841607032,26.39785559,4.720609666,True,True,True,True,True
US.ACMR,ACMR,ACM Research,63.355,49.257,46.53,42.726,189.651,-11.577,21.8728746,71.64991009,28.62131271,5.86073501,8.903243926,True,True,True,True,True
US.ACNB,ACNB,ACNB Corp.,52.99,49.578,48.694,47.387,35.008,-1.743,39.24952595,53.9299999,6.882084796,1.815418737,2.758140418,True,True,True,True,True
US.ACRS,ACRS,Aclaris Therapeutics,4.995,4.051,3.277,2.915,309.426,-3.009,1.220000684,5.149962368,23.30288818,23.61916387,12.41852487,True,True,True,True,True
US.ACSAY,ACSAY,ACS ACTIVIDADES DE CONSTRUCCION Y UNSP ADR EACH REPR 0.2 ORD,31.828,27.242,22.566,20.741,161.41,-3.959,12.17550974,33.14001312,16.83429998,20.72143933,8.798997155,True,True,True,True,True
