code,ticker,name,price,ma50,ma150,ma200,market_cap,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_within_25_pct_of_52w_high
US.AEHR,AEHR,Aehr Test Systems,100.765,66.449,39.662,35.955,3169387139,1113.129,-7.343,8.306206512,108.7505531,51.64261313,67.53819777,10.31010986,True,True,True,True,True,True
US.AER,AER,AerCap飞机租赁,140.495,140.07,138.785,133.606,2.344532047e+10,34.295,-8.825,104.616702,154.0937757,0.3034197187,0.9258925676,3.87632292,True,True,True,True,True,True
US.AESI,AESI,Atlas Energy Solutions,18.825,14.6,11.813,11.716,2351347619,146.345,-4.003,7.641721975,19.60998781,28.93835616,23.59265216,0.8279276203,True,True,True,True,True,True
US.AGESY,AGESY,AGEAS SPON ADR EACH REP 1 ORD (POST REV-SPLIT),79.78,75.552,71.126,70.377,1.669218224e+10,32.438,-1.91,60.2395083,81.33346926,5.596145701,6.22275961,1.064268156,True,True,True,True,True,True
US.AGRPY,AGRPY,ABSA GROUP LTD SPON ADR EA REPR 2 ORD SHS,28.105,27.879,26.971,25.152,1.164641799e+10,69.9,-14.264,16.54208358,32.78086218,0.810646006,3.366578918,7.232029262,True,True,True,True,True,True
US.AGX,AGX,Argan,710.5,581.997,425.674,379.174,9918910382,289.73,-5.076,182.3056988,748.4935317,22.07966708,36.72364298,12.26349908,True,True,True,True,True,True
US.AHKSY,AHKSY,旭化成(ADR),21.756,19.957,18.902,18.15,1.4755362e+10,71.172,-9.8,12.71002267,24.11973392,9.014380919,5.581419956,4.143250689,True,True,True,True,True,True
US.AHR,AHR,American Healthcare REIT,50.05,49.781,48.336,46.485,9645751515,52.032,-7.96,32.92070091,54.37853107,0.5403668066,2.989490235,3.981929655,True,True,True,True,True,True
US.AIAGY,AIAGY,AURUBIS AG ADR EACH REPR 0.5 SHS,114.813,99.567,80.53,72.665,1.002520476e+10,169.596,0,42.58705619,114.813,15.31230227,23.6396374,10.82364274,True,True,True,True,True,True
US.AIBGY,AIBGY,AIB GROUP PLC UNSPON ADR EACH REP 2 ORD SHS,22.25,21.514,20.129,19.146,2.36162074e+10,63.981,-8.019,13.56864515,24.18977832,3.421028168,6.880620001,5.134231693,True,True,True,True,True,True
US.AIFLY,AIFLY,AIFUL CORP ADR EACH REP 0.5 ORD NPV(已退市),1.4,1.281,1.25,1.21,1341190080,47.368,-14.11,0.9500027143,1.62999185,9.289617486,2.48,3.305785124,True,True,True,True,True,True
US.AIIXY,AIIXY,AIXTRON SE UNSPON ADR EACH REP 2 ORD SHS,120,91.685,57.464,49.713,6767151480,413.118,-8.25,23.38643353,130.7901907,30.88291433,59.55206738,15.59149518,True,True,True,True,True,True
US.AIP,AIP,Arteris,33.48,21.981,17.5,15.604,1545837957,386.769,-12.971,6.878005789,38.46993531,52.31336154,25.60571429,12.15073058,True,True,True,True,True,True
US.AIPUY,AIPUY,AIRPORTS OF THAILAND PUBLIC CO UNSP ADR EACH REP 10 ORD SHS,16,14.718,14.392,13.467,2.285712e+10,90.27,-16.623,8.409102854,19.18994447,8.710422612,2.265147304,6.868641865,True,True,True,True,True,True
US.AIT,AIT,应用工业技术,309.78,282.826,270.142,268.023,1.144932661e+10,42.78,-2.148,216.9631601,316.5801414,9.530241208,4.695308393,0.7906037915,True,True,True,True,True,True
US.AKAM,AKAM,阿克迈,150.725,111.603,96.327,91.294,2.19132221e+10,116,-8.899,69.78009259,165.4482388,35.05461323,15.85848205,5.512958135,True,True,True,True,True,True
US.AKO.A,AKO.A,Andina Bottling-A,22.64,22.313,22.21,21.309,3571726405,37.324,-13.406,16.48655734,26.1449985,1.465513378,0.4637550653,4.228260359,True,True,True,True,True,True
US.AKRBY,AKRBY,AKER BP ASA UNSPON ADS EACH REP 1/2 COM,20,17.911,14.67,14.005,2.526953088e+10,90.588,-13.269,10.49384012,23.05980561,11.66322372,22.0927062,4.748304177,True,True,True,True,True,True
US.ALB,ALB,美国雅保,184.29,182.939,154.043,135.51,2.173417683e+10,249.208,-16.61,52.77370507,220.9977215,0.738497532,18.75839863,13.67648144,True,True,True,True,True,True
US.ALBKY,ALBKY,ALPHA SERVICES AND HOLDINGS S.A SPN ADR EACH REP 0.25 ORD(POST REV SPLIT,1.07,1.023,0.991,0.975,9888775580,69.01,-14.399,0.6330986332,1.249985397,4.594330401,3.229061554,1.641025641,True,True,True,True,True,True
US.ALFVY,ALFVY,ALFA LAVAL AB UNSP ADR EACH REPR 1 ORD,57.04,56.927,52.84,50.843,2.357613301e+10,43.997,-7.88,39.61193636,61.91923578,0.1984998331,7.734670704,3.927777669,True,True,True,True,True,True
US.ALGM,ALGM,Allegro Microsystems,42.61,38.289,33.43,32.679,7895243971,90.137,-17.101,22.41015689,51.39989626,11.28522552,14.53484894,2.298111937,True,True,True,True,True,True
US.ALKS,ALKS,阿尔凯默斯,37.56,32.579,31.352,30.64,6260343311,49.254,-5.055,25.1651547,39.55974512,15.28898984,3.913625925,2.323759791,True,True,True,True,True,True
US.ALRS,ALRS,Alerus Financial,26.49,24.975,23.421,22.94,665657832.5,34.403,-4.021,19.70938149,27.59978745,6.066066066,6.63507109,2.096774194,True,True,True,True,True,True
US.ALXO,ALXO,ALX Oncology,2.02,1.913,1.716,1.581,271817092.3,400,-24.06,0.404,2.659994733,5.593308939,11.48018648,8.538899431,True,True,True,True,True,True
US.AMAT,AMAT,应用材料,440.81,380.889,313.895,280.834,3.50033536e+11,189.143,-1.646,152.4539761,448.1871607,15.73187989,21.34280572,11.77243496,True,True,True,True,True,True
US.AMBK,AMBK,AMERICAN BANK INC,18.25,17.557,15.878,15.394,115520802.8,32,-0.109,13.82575758,18.26991421,3.947143589,10.57437964,3.14408211,True,True,True,True,True,True
US.AMBZ,AMBZ,AMERICAN BUSINESS BANK,72.1,71.148,65.468,61.96,641700454.5,74.336,-1.683,41.35691997,73.33421484,1.338055884,8.675994379,5.661717237,True,True,True,True,True,True
US.AMD,AMD,美国超微公司,435.475,279.44,242.413,224.246,7.100858133e+11,304.464,-7.19,107.6671842,469.2112919,55.83846264,15.27434585,8.101370816,True,True,True,True,True,True
US.AME,AME,阿美特克,228.43,225.373,213.759,206.546,5.235684175e+10,31.585,-6.065,173.5988145,243.1787938,1.356418027,5.433221525,3.492200285,True,True,True,True,True,True
US.AMG,AMG,Affiliated Managers,295.77,287.008,284.074,270.292,7811902380,71.447,-11.646,172.5139547,334.7556421,3.052876575,1.032829474,5.098930046,True,True,True,True,True,True
US.AMKR,AMKR,艾马克技术,70.89,58.771,47.38,41.951,1.75716828e+10,303.2,-10.526,17.58184524,79.22972037,20.6207143,24.04178978,12.94128865,True,True,True,True,True,True
US.AMSSY,AMSSY,AMS-OSRAM AG UNSPON ADS EACH REP 0.5 ORD SHS(PST SPT),11.75,6.925,6.463,5.994,2339180952,180.429,-9.961,4.190008879,13.0499006,69.67509025,7.148383104,7.824491158,True,True,True,True,True,True
