code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.ADRZY,ADRZY,ANDRITZ AG UNSP ADR EACH REPR 0.2 ORD,17.03,15.886,15.419,15.097,30.811,-11.302,13.01878282,19.19998196,7.201309329,3.028730787,2.132874081,True,True,True,True,True
US.ADTN,ADTN,亚川,15.32,14.019,10.705,10.347,115.471,-18.031,7.110005523,18.68999256,9.280262501,30.9574965,3.459940079,True,True,True,True,True
US.AEHR,AEHR,Aehr Test Systems,105.095,65.218,39.15,35.535,1165.259,-3.361,8.3062045,108.7500905,61.14416265,66.58492976,10.17306881,True,True,True,True,True
US.AEIS,AEIS,先进能源工业,349.67,346.718,273.158,244.237,211.965,-12.019,112.0862917,397.4380832,0.851412387,26.92946939,11.8413672,True,True,True,True,True
US.AEL.PRA,AEL.PRA,AMERICAN EQUITY INVT LIFE HLDG CO 5.95% DEP SH REP 1/1000 NON CUM PFD SE A,24.278,23.718,22.371,21.8,32.984,1.49,18.25633159,23.92156863,2.361075976,6.021188145,2.619266055,True,True,True,True,True
US.AENT,AENT,Alliance Entertainment Holding,7.51,7.055,6.87,6.637,194.509,-14.659,2.550006961,8.799990626,6.449326719,2.69286754,3.510622269,True,True,True,True,True
US.AER,AER,AerCap飞机租赁,142.7,140.082,138.657,133.446,36.402,-7.394,104.6172344,154.0936872,1.868905355,1.027715874,3.904950317,True,True,True,True,True
US.AESI,AESI,Atlas Energy Solutions,18.89,14.448,11.761,11.686,147.196,-3.671,7.641709413,19.60987865,30.74473976,22.84669671,0.6417935992,True,True,True,True,True
US.AGESY,AGESY,AGEAS SPON ADR EACH REP 1 ORD (POST REV-SPLIT),80.494,75.341,71.028,70.313,33.624,-1.032,60.23917859,81.33336028,6.839569424,6.072253196,1.016881658,True,True,True,True,True
US.AGNC,AGNC,美国资本代理公司,10.62,10.385,10.278,9.945,41.519,-8.962,7.50429271,11.66545838,2.262879153,1.041058572,3.34841629,True,True,True,True,True
US.AGRPY,AGRPY,ABSA GROUP LTD SPON ADR EA REPR 2 ORD SHS,28.105,27.902,26.926,25.104,69.9,-14.264,16.54208358,32.78086218,0.7275464124,3.624749313,7.257807521,True,True,True,True,True
